Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Tonga,,,,9675,53%,9%,11%,14%,12%,46%,40%,11%,3%,24%,,,74%,2%,22%,2%,4484,43386052,10381,100432094
,Trinidad and Tobago,,,,104103,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,33037,3439262175,9951,1035973506
,Tunisia,,,,485188,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3830,1858394369,451,218700958
,Turkey,,,,4120213,57%,39%,35%,48%,20%,32%,21%,29%,18%,13%,,10%,68%,18%,1%,13%,17675,72825917110,13654,56259268422
,Turkmenistan,,,,188930,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8718,1647124581,3984,752667923
,Uganda,,,,1194387,41%,7%,7%,7%,54%,50%,43%,5%,2%,15%,18.22,21%,71%,1%,25%,3%,630,751899607,206,246322943
,Ukraine,,,,567838,66%,23%,15%,28%,36%,38%,34%,21%,7%,17%,,14%,91%,6%,4%,0%,8451,4798545521,4976,2825648138
,United Arab Emirates,,,,257908,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,62370,16085620705,4627,1193374635
,United Kingdom,,,,2828025,,,,,,,,,,,,,,,,,,,,
,United States,,,,27124056,,,,,,,,,,,,,,,,,,,,
,Uruguay,,,,313023,46%,19%,17%,21%,16%,43%,36%,14%,7%,8%,,,70%,26%,3%,1%,17835,5582891242,3197,1000810127
,Uzbekistan,,,,965156,55%,7%,10%,12%,25%,46%,42%,8%,4%,16%,,22%,36%,59%,2%,2%,7128,6880011118,1920,1852759446
,Venezuela,,,,3274676,59%,17%,16%,19%,21%,45%,36%,12%,7%,10%,,,86%,14%,0%,0%,13763,45070245244,3868,12667244000
,Vietnam,,,,9245088,42%,8%,12%,15%,26%,46%,40%,9%,5%,18%,,,49%,47%,0%,4%,2669,24671623108,8178,75603429694
,Yemen,,,,1390861,18%,7%,9%,11%,35%,47%,41%,8%,3%,19%,,,70%,11%,19%,0%,910,1265303738,115,159502844
,Zambia,,,,568272,50%,12%,8%,12%,24%,47%,41%,8%,4%,12%,20.36,23%,69%,16%,12%,3%,4310,2448990074,645,366581080
,Zimbabwe,,,,227725,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,7742,1763074771,609,138673244
Central Asia and Eastern Europe,,,,,20193486,58%,22%,21%,28%,25%,40%,31%,20%,9%,14%,40.42,14%,68%,25%,1%,6%,17725,357930528331,11244,227048747349
East Asia,,,,,188228698,33%,7%,9%,12%,17%,47%,41%,8%,4%,20%,,92%,36%,47%,15%,2%,3753,706488387514,15473,2912494741027
Latin America,,,,,52477854,47%,22%,20%,24%,35%,41%,35%,17%,7%,13%,19.45,24%,57%,20%,19%,5%,11811,619833192191,2883,151317168566
MENA,,,,,21137314,42%,8%,9%,12%,42%,47%,40%,9%,4%,16%,50.76,23%,55%,32%,12%,0%,16988,359083792720,1511,31931091527
South Asia,,,,,77500690,44%,7%,9%,14%,22%,48%,40%,7%,5%,17%,37.86,34%,57%,0%,0%,43%,2673,207157114875,4367,338455820534
Sub-Saharan Africa,,,,,40197619,45%,9%,9%,11%,49%,42%,47%,8%,3%,17%,24.19,27%,40%,6%,26%,28%,3273,131548034925,839,33730644027
,,,,,399735661,40%,10%,11%,15%,25%,45%,40%,10%,4%,18%,32.23,58%,46%,28%,13%,13%,5959,2382041050556,9244,3694978213029
,Afghanistan,,,SME,38172,67%,23%,2%,23%,36%,41%,36%,18%,5%,5%,,,47%,47%,1%,4%,8808,336228516,6278,239642801
,Albania,,,SME,18069,95%,83%,48%,83%,17%,11%,5%,57%,27%,23%,40.42,6%,100%,0%,0%,0%,27887,503905920,1490,26926583
,Algeria,,,SME,205252,85%,40%,31%,46%,49%,27%,27%,41%,5%,15%,36.17,37%,32%,65%,2%,0%,51646,10600504703,3676,754451374
,Angola,,,SME,87036,87%,12%,9%,15%,42%,42%,43%,13%,1%,8%,,,60%,32%,9%,0%,63702,5544296994,2735,238061807
,Argentina,,,SME,177412,98%,76%,49%,80%,42%,4%,16%,70%,10%,8%,,,74%,23%,1%,2%,261624,46415231962,2400,425743591
,Armenia,,,SME,51361,90%,43%,43%,61%,32%,21%,17%,46%,15%,19%,,12%,83%,11%,4%,2%,27408,1407705667,4223,216917464
,Australia,,,SME,464851,,,,,,,,,,,,,,,,,,,,
,Austria,,,SME,110380,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,,,SME,51747,69%,13%,17%,23%,32%,36%,41%,19%,4%,16%,,46%,94%,2%,4%,0%,21100,1091885051,7762,401670883
,Bahamas,,,SME,1812,,,,,,,,,,,,,,,,,187741,340224785,24465,44336083
,Bahrain,,,SME,6270,,,,,,,,,,,,,,,,,344510,2160093938,11978,75102529
,Bangladesh,,,SME,804041,92%,,,,30%,,,,,,,,,,,,2288,1839613279,1900,1527981329
,Barbados,,,SME,1812,,,,,,,,,,,,,,,,,105246,190726640,13715,24854368
,Belarus,,,SME,70857,88%,32%,46%,60%,40%,17%,23%,45%,15%,13%,,18%,57%,43%,0%,0%,50113,3550842607,9797,694189967
,Belgium,,,SME,149190,,,,,,,,,,,,,,,,,,,,
,Belize,,,SME,17103,,,,,,,,,,,,,,,,,60260,1030635393,6097,104271370
,Benin,,,SME,41540,97%,68%,38%,73%,54%,7%,20%,59%,14%,20%,,,79%,14%,2%,5%,26752,1111282015,1149,47716384
,Bhutan,,,SME,1016,85%,39%,40%,55%,30%,14%,31%,46%,9%,24%,,,,,,,12197,12391793,2732,2775320
,Bolivia,,,SME,67316,93%,48%,32%,60%,30%,17%,24%,45%,15%,14%,,,79%,0%,17%,5%,27223,1832514577,1477,99391989
,Bosnia and Herzegovina,,,SME,40409,,,,,,,,,,,,,,,,,65060,2629045114,12407,501342894
,Botswana,,,SME,9040,99%,45%,47%,63%,31%,26%,11%,49%,14%,18%,,,83%,6%,3%,8%,56732,512861033,3171,28669663
,Brazil,,,SME,939325,96%,79%,58%,84%,50%,7%,8%,70%,14%,10%,,17%,56%,40%,3%,1%,88701,83319458164,2001,1879213495
,Brunei Darussalam,,,SME,21138,,,,,,,,,,,,,,,,,339587,7178114504,277831,5872719503
,Bulgaria,,,SME,73597,98%,30%,41%,51%,20%,29%,20%,37%,14%,22%,,15%,86%,13%,1%,0%,30561,2249212911,801,58931620
,Burkina Faso,,,SME,57434,99%,64%,33%,69%,67%,4%,27%,67%,2%,15%,,,91%,8%,1%,0%,45719,2625841512,1817,104382754
,Burma (Myanmar),,,SME,236679,,,,,,,,,,,,,,,,,11163,2642036757,18404,4355729883
,Burundi,,,SME,38573,92%,32%,43%,45%,51%,17%,38%,33%,12%,15%,38.33,33%,85%,2%,3%,10%,9951,383822885,314,12125781
,Cambodia,,,SME,23923,,,,,,,,,,,,,,,,,18676,446794700,16450,393544070
,Cameroon,,,SME,6485,87%,41%,23%,50%,53%,7%,43%,46%,4%,20%,,,58%,5%,29%,8%,4901,31778553,358,2320214
,Canada,,,SME,510737,,,,,,,,,,,,,,,,,,,,
,Cape Verde,,,SME,2473,93%,31%,41%,51%,37%,22%,27%,39%,12%,17%,,,90%,9%,1%,0%,32095,79359225,1265,3128882
,Central African Republic,,,SME,21264,,,,,,,,,,,,,,,,,24221,515051788,1040,22115366
,Chad,,,SME,52419,93%,75%,19%,80%,48%,6%,14%,73%,7%,15%,,,95%,5%,0%,0%,27449,1438864253,1179,61782156
,Chile,,,SME,226889,94%,80%,71%,87%,23%,5%,8%,61%,26%,12%,,,94%,5%,0%,0%,104915,23804040209,3065,695314708
,China,,,SME,3775346,,10%,10%,10%,17%,47%,43%,8%,2%,,,100%,,,,,16615,62727297161,27235,102820590635
,Colombia,,,SME,244324,99%,76%,56%,83%,44%,6%,11%,71%,12%,9%,,,94%,1%,4%,0%,36356,8882685766,207,50619737
,Comoros,,,SME,2967,,,,,,,,,,,,,,,,,28134,83476728,1208,3584336
,"Congo, Dem. Rep.",,,SME,309075,78%,16%,15%,24%,64%,14%,63%,21%,3%,10%,,,66%,6%,28%,0%,21152,6537693054,908,280716387
,"Congo, Rep.",,,SME,17803,86%,54%,13%,54%,50%,12%,33%,49%,5%,,10.74,34%,,,,,90412,1609576799,3238,57646582
,Costa Rica,,,SME,21893,94%,32%,55%,66%,41%,19%,15%,58%,8%,18%,,,31%,59%,9%,2%,128429,2811718565,3048,66732655
,Cote d'Ivoire,,,SME,99399,80%,32%,15%,33%,68%,9%,58%,29%,4%,13%,21.42,39%,82%,4%,10%,4%,31961,3176865854,1372,136408714
,Croatia,,,SME,24296,100%,61%,64%,86%,20%,7%,7%,58%,28%,12%,,25%,78%,16%,5%,0%,98488,2392872209,0,0
,Cuba,,,SME,67656,,,,,,,,,,,,,,,,,98877,6689583140,12885,871746937
,Czech Republic,,,SME,208942,97%,53%,33%,58%,21%,31%,11%,52%,7%,12%,,18%,70%,28%,0%,1%,66865,13971023934,5468,1142600953
,Democratic People's Republic of Korea,,,SME,734617,,,,,,,,,,,,,,,,,13619,10004876463,30253,22224232671
,Denmark,,,SME,82217,,,,,,,,,,,,,,,,,,,,
,Djibouti,,,SME,5034,,,,,,,,,,,,,,,,,33006,166140733,1193,6005039
,Dominican Republic,,,SME,10626,,,,,,,,,,,,,,,,,92781,985920800,10080,107116785
,Ecuador,,,SME,182238,98%,86%,38%,88%,21%,10%,2%,61%,27%,9%,,,85%,1%,14%,0%,55620,10136064192,715,130235571
,Egypt,,,SME,406450,60%,5%,8%,11%,40%,39%,50%,7%,4%,28%,42.61,100%,,,,,3922,1594198240,3617,1470206541
,Guinea,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,El Salvador,,,SME,32867,80%,34%,38%,54%,32%,22%,24%,46%,9%,19%,,,82%,2%,16%,0%,30646,1007236703,2830,92999808
,Equatorial Guinea,,,SME,2967,,,,,,,,,,,,,,,,,258461,766886193,11098,32928668
,Burma (Myanmar),,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,Eritrea,,,SME,23737,98%,39%,17%,42%,1%,47%,10%,12%,30%,12%,,,0%,87%,0%,13%,12883,305803496,601,14273658
,Estonia,,,SME,15544,98%,40%,54%,64%,10%,24%,12%,21%,43%,10%,,14%,88%,2%,5%,4%,47802,743049811,4561,70902165
,Ethiopia,,,SME,210774,96%,40%,49%,57%,42%,25%,18%,44%,13%,,24.64,19%,61%,32%,2%,6%,16342,3444439099,867,182728137
,Fiji,,,SME,4190,98%,47%,25%,50%,4%,45%,5%,30%,20%,20%,,,100%,0%,0%,0%,13995,58640547,7782,32607461
,Finland,,,SME,74356,,,,,,,,,,,,,,,,,,,,
,France,,,SME,892090,,,,,,,,,,,,,,,,,,,,
,Gabon,,,SME,6923,88%,20%,11%,25%,22%,39%,36%,19%,6%,,12.97,24%,,,,,229268,1587285789,8701,60237432
,Gambia,,,SME,7912,74%,35%,16%,36%,37%,22%,42%,23%,13%,16%,8.39,33%,95%,5%,0%,0%,8362,66162054,536,4241068
,Georgia,,,SME,11701,89%,31%,39%,51%,37%,30%,19%,34%,16%,17%,,14%,94%,6%,0%,0%,40193,470279795,6682,78180319
,Germany,,,SME,747395,,,,,,,,,,,,,,,,,,,,
,Ghana,,,SME,112751,86%,17%,23%,28%,61%,15%,57%,25%,3%,13%,17.29,33%,58%,32%,9%,2%,25609,2887413703,1547,174453792
,Greece,,,SME,187852,,,,,,,,,,,,,,,,,110652,20786104957,21779,4091264668
,Grenada,,,SME,604,,,,,,,,,,,,,,,,,64046,38688294,8346,5041630
,Guatemala,,,SME,58979,55%,43%,38%,60%,20%,21%,19%,46%,15%,16%,,,77%,4%,17%,1%,70105,4134746999,28896,1704297713
,Guinea,,,SME,47474,54%,12%,7%,13%,59%,9%,79%,12%,1%,20%,10.74,53%,44%,0%,56%,0%,13213,627269203,758,35996730
,Guinea-Bissau,,,SME,7418,70%,3%,7%,9%,81%,5%,87%,7%,2%,12%,29.53,100%,69%,0%,31%,0%,8840,65576850,569,4223211
,Guyana,,,SME,4847,,,,,,,,,,,,,,,,,26655,129201618,3476,16850620
,Haiti,,,SME,58595,,,,,,,,,,,,,,,,,20026,1173417487,2610,152912832
,Honduras,,,SME,78436,81%,47%,47%,61%,25%,18%,20%,47%,15%,18%,,,92%,0%,3%,4%,74226,5821989998,12456,977042051
,Hong Kong,,,SME,73259,,,,,,,,,,,,,,,,,139536,10222334766,271673,19902537205
,Hungary,,,SME,134420,98%,50%,47%,61%,18%,35%,4%,44%,17%,13%,,19%,87%,12%,0%,0%,59321,7973882900,3745,503442628
,Iceland,,,SME,9043,,,,,,,,,,,,,,,,,,,,
,India,,,SME,445731,91%,32%,25%,32%,16%,54%,14%,15%,17%,14%,45.79,10%,,,,,7614,3393919535,3493,1556779883
,Indonesia,,,SME,5575981,47%,4%,16%,16%,15%,23%,61%,11%,6%,19%,,,34%,46%,18%,2%,2112,11774801655,1576,8785563724
,Iran,,,SME,327969,,,,,,,,,,,,,,,,,18948,6214389446,16133,5291214902
,Iraq,,,SME,185614,,,,,,,,,,,,,,,,,26216,4866068829,948,175880597
,Ireland,,,SME,41197,,,,,,,,,,,,,,,,,,,,
,Italy,,,SME,1318602,,,,,,,,,,,,,,,,,,,,
,Jamaica,,,SME,35222,,,,,,,,,,,,,,,,,32478,1143947485,5205,183324589
,Japan,,,SME,3265087,,,,,,,,,,,,,,,,,,,,
,Jordan,,,SME,35428,92%,21%,16%,28%,34%,64%,8%,16%,12%,26%,30.05,5%,99%,1%,0%,0%,9997,354165359,326,11559803
,Zimbabwe,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,Kazakhstan,,,SME,83038,90%,16%,25%,32%,27%,34%,34%,25%,7%,22%,,27%,98%,2%,0%,0%,64697,5372276623,7968,661619484
,Kenya,,,SME,133748,88%,20%,26%,34%,52%,21%,45%,28%,6%,15%,,,,,,,13228,1769171906,970,129762825
,Kyrgyz Republic,,,SME,11608,72%,31%,23%,46%,27%,24%,31%,32%,14%,24%,,27%,73%,16%,10%,1%,16408,190466709,7037,81688924
,Laos,,,SME,20795,94%,6%,16%,20%,28%,48%,31%,18%,3%,23%,,0%,27%,61%,8%,4%,9221,191745511,3217,66889339
,Latvia,,,SME,23403,98%,23%,52%,57%,27%,26%,17%,38%,18%,15%,,25%,74%,24%,1%,1%,82094,1921221668,1469,34367442
,Lebanon,,,SME,2415,84%,46%,38%,70%,48%,19%,11%,58%,12%,,58.17,7%,,,,,30417,73456433,1315,3175661
,Lesotho,,,SME,9890,91%,43%,33%,51%,23%,30%,18%,31%,21%,,,28%,,,,,31226,308837402,1272,12581084
,Liberia,,,SME,17803,68%,12%,11%,18%,45%,33%,49%,13%,5%,,3.66,2%,,,,,21825,388542939,937,16683312
,Libyan Arab Jamahiriya,,,SME,39010,,,,,,,,,,,,,,,,,141298,5512101347,5107,199230983
,Lithuania,,,SME,39922,96%,13%,44%,45%,25%,37%,18%,32%,13%,10%,,12%,89%,11%,0%,0%,66368,2649549981,3728,148835491
,Luxembourg,,,SME,9475,,,,,,,,,,,,,,,,,,,,
,Macedonia (the former Yugoslav Republic of),,,SME,12346,92%,23%,55%,63%,36%,23%,14%,52%,10%,17%,,26%,93%,4%,3%,0%,38601,476567942,3347,41316119
,Madagascar,,,SME,91981,94%,33%,21%,39%,39%,28%,33%,29%,10%,18%,20.55,17%,90%,0%,10%,0%,19973,1837107659,927,85274303
,Malawi,,,SME,106609,100%,53%,39%,67%,46%,14%,18%,59%,8%,16%,,,89%,5%,5%,0%,6544,697684794,347,36992178
,Malaysia,,,SME,195048,98%,59%,58%,72%,12%,21%,7%,27%,45%,,,13%,,,,,40787,7955327645,0,0
,Maldives,,,SME,435,,,,,,,,,,,,,,,,,17910,7798494,14479,6304553
,Mali,,,SME,61320,89%,53%,21%,55%,44%,11%,34%,40%,14%,10%,,,77%,13%,10%,0%,16171,991633140,718,44016456
,Mauritania,,,SME,15330,84%,24%,18%,29%,50%,10%,61%,23%,6%,15%,22.22,53%,82%,7%,10%,0%,58196,892147842,2037,31226163
,Mauritius,,,SME,11962,97%,57%,50%,71%,50%,21%,8%,55%,16%,18%,43.6,20%,86%,6%,6%,2%,31626,378316824,1512,18091042
,Mexico,,,SME,710148,43%,12%,9%,17%,18%,57%,26%,11%,6%,16%,19.45,21%,90%,8%,1%,1%,19387,13767487294,4152,2948451165
,Micronesia,,,SME,524,99%,6%,32%,35%,30%,25%,40%,23%,12%,26%,,,53%,30%,0%,17%,12343,6464925,1831,959214
,Moldova,,,SME,16220,91%,28%,45%,50%,35%,27%,23%,38%,13%,20%,,19%,83%,14%,3%,0%,31836,516382344,5144,83430908
,Mongolia,,,SME,13618,59%,25%,48%,63%,38%,14%,23%,52%,12%,21%,,23%,88%,5%,2%,5%,5932,80785658,14583,198599500
,Montenegro,,,SME,6675,83%,34%,55%,66%,8%,8%,26%,35%,30%,16%,,17%,77%,9%,9%,5%,95338,636403044,25792,172166242
,Morocco,,,SME,126589,89%,71%,34%,76%,36%,19%,5%,59%,16%,14%,51.09,2%,72%,0%,28%,0%,9750,1234290642,6078,769441536
,Mozambique,,,SME,4321,75%,13%,12%,20%,52%,15%,65%,14%,6%,14%,17.38,44%,81%,4%,15%,0%,10807,46697308,1083,4681319
,Namibia,,,SME,10385,98%,57%,27%,63%,17%,29%,9%,29%,33%,17%,56.6,29%,94%,4%,0%,2%,35946,373300528,213,2212036
,Nepal,,,SME,14206,80%,26%,42%,49%,6%,36%,15%,36%,13%,25%,,,66%,8%,26%,0%,6120,86939213,2129,30246371
,Netherlands,,,SME,201316,,,,,,,,,,,,,,,,,,,,
,New Zealand,,,SME,64157,,,,,,,,,,,,,,,,,,,,
,Nicaragua,,,SME,27564,84%,26%,42%,52%,21%,31%,16%,32%,20%,15%,,,79%,2%,16%,3%,40670,1121018469,3112,85767086
,Niger,,,SME,69727,97%,78%,44%,79%,49%,5%,15%,59%,21%,18%,,,98%,0%,2%,0%,81200,5661866382,3363,234479113
,Nigeria,,,SME,1536800,,11%,6%,14%,,25%,61%,10%,4%,18%,,,,,,,14541,22347333872,612,939965059
,Norway,,,SME,89584,,,,,,,,,,,,,,,,,,,,
,Oman,,,SME,3195,,,,,,,,,,,,,,,,,191018,610349281,6978,22295053
,Pakistan,,,SME,748638,54%,7%,2%,7%,19%,51%,42%,6%,2%,19%,18.04,1%,100%,0%,0%,0%,3878,2903356420,1747,1307896302
,Palestine,,,SME,25168,,,,,,,,,,,,,,,,,35088,883104584,1268,31919187
,Panama,,,SME,11561,73%,46%,16%,51%,2%,29%,20%,30%,22%,18%,,,96%,2%,0%,2%,38116,440669509,13069,151092483
,Papua New Guinea,,,SME,33522,,,,,,,,,,,,,,,,,13526,453415638,22021,738172617
,Paraguay,,,SME,93997,79%,60%,48%,73%,27%,12%,15%,46%,27%,10%,,,68%,0%,32%,0%,24172,2272129925,4033,379114235
,Peru,,,SME,118534,86%,38%,60%,69%,12%,14%,17%,49%,21%,15%,,,84%,3%,12%,0%,28542,3383151842,2039,241646526
,Philippines,,,SME,221068,96%,18%,24%,32%,12%,47%,21%,19%,13%,19%,,,91%,1%,8%,0%,9182,2029859275,891,196957386
,Poland,,,SME,342081,98%,46%,48%,59%,22%,30%,11%,47%,11%,12%,,12%,63%,34%,0%,2%,65878,22535579777,4150,1419797656
,Portugal,,,SME,292396,,,,,,,,,,,,,,,,,,,,
,Qatar,,,SME,5153,,,,,,,,,,,,,,,,,1092258,5627932019,38363,197667822
,Republic of Korea,,,SME,251414,,,,,,,,,,,,,,,,,113377,28504613120,184581,46406261944
,Romania,,,SME,138183,50%,41%,40%,47%,41%,34%,19%,39%,8%,27%,,14%,90%,5%,5%,0%,43697,6038141275,49257,6806544486
,Russia,,,SME,509824,95%,29%,21%,38%,44%,29%,34%,30%,8%,12%,,27%,70%,24%,5%,1%,51882,26450809825,11795,6013605879
,Rwanda,,,SME,35472,84%,38%,43%,49%,34%,21%,30%,32%,17%,26%,35.94,14%,95%,2%,2%,0%,5561,197257155,682,24191911
,Saint Lucia,,,SME,1208,,,,,,,,,,,,,,,,,65010,78540780,8472,10234970
,Saint Vincent and the Grenadines,,,SME,604,,,,,,,,,,,,,,,,,54165,32719164,7058,4263768
,Samoa,,,SME,243,97%,63%,49%,74%,16%,11%,16%,54%,20%,17%,,,97%,0%,0%,3%,78183,18995403,30706,7460286
,Sao Tome and Principe,,,SME,989,,,,,,,,,,,,,,,,,30604,30268311,1314,1299665
,Saudi Arabia,,,SME,615169,,,,,,,,,,,,,,,,,364065,223961366835,1176,723294479
,Senegal,,,SME,58848,88%,23%,17%,28%,41%,20%,52%,20%,8%,13%,27.87,44%,63%,1%,34%,2%,34085,2005829658,489,28786809
,Serbia,,,SME,25618,100%,64%,62%,80%,27%,11%,9%,57%,23%,11%,,18%,84%,12%,1%,2%,86971,2228023003,849,21746226
,Sierra Leone,,,SME,26704,73%,52%,18%,53%,35%,9%,37%,45%,8%,,7.38,24%,,,,,9416,251443041,358,9570982
,Singapore,,,SME,42352,,,,,,,,,,,,,,,,,166551,7053738551,316596,13408368453
,Slovakia,,,SME,24445,17%,55%,44%,70%,17%,22%,8%,54%,17%,17%,,28%,77%,15%,4%,4%,88149,2154826787,167215,4087636719
,Slovenia,,,SME,25710,100%,61%,69%,83%,14%,14%,3%,54%,30%,11%,,5%,37%,58%,5%,0%,145520,3741327645,0,0
,Solomon Islands,,,SME,2619,,,,,,,,,,,,,,,,,12445,32591463,20260,53059762
,Somalia,,,SME,54740,,,,,,,,,,,,,,,,,24078,1318029382,870,47639235
,South Africa,,,SME,103338,98%,51%,27%,57%,15%,23%,19%,20%,37%,13%,31.53,17%,91%,1%,9%,0%,34676,3583307285,1800,186036388
,Spain,,,SME,950998,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,,,SME,5340,,,,,,,,,,,,,,,,,16801,89723093,9129,48752463
,Sudan,,,SME,156442,,,,,,,,,,,,,,,,,55019,8607186864,1903,297640772
,Suriname,,,SME,3020,,,,,,,,,,,,,,,,,56793,171533491,7401,22353231
,Swaziland,,,SME,5934,98%,31%,27%,39%,34%,42%,19%,27%,12%,18%,42.87,15%,76%,17%,6%,1%,25970,154111519,168,994235
,Sweden,,,SME,125828,,,,,,,,,,,,,,,,,,,,
,Switzerland,,,SME,121065,,,,,,,,,,,,,,,,,,,,
,Syria,,,SME,128986,,,,,,,,,,,,,,,,,44515,5741821277,1609,207534047
,Tajikistan,,,SME,37445,78%,15%,31%,38%,27%,25%,36%,27%,12%,18%,,13%,45%,47%,7%,1%,3735,139861075,1063,39795044
,Tanzania,,,SME,253976,81%,8%,12%,15%,45%,13%,72%,10%,5%,27%,17.43,43%,57%,22%,21%,0%,4245,1078054842,324,82193006
,Thailand,,,SME,550723,,,,,,,,,,,,,,,,,21474,11826164009,47605,26217044220
,Timor-Leste,,,SME,1626,85%,15%,7%,18%,20%,40%,42%,8%,10%,46%,,,59%,31%,10%,0%,12046,19584341,8542,13886624
,Togo,,,SME,31155,97%,72%,30%,76%,47%,6%,18%,60%,16%,16%,,,54%,30%,14%,3%,24050,749277857,1033,32172598
,Tonga,,,SME,524,100%,40%,50%,62%,12%,17%,21%,58%,4%,24%,,,74%,2%,22%,2%,18848,9872194,764,400037
,Trinidad and Tobago,,,SME,5744,,,,,,,,,,,,,,,,,241648,1388049617,27686,159032406
,Tunisia,,,SME,5368,,,,,,,,,,,,,,,,,99660,534968148,3430,18414286
,Turkey,,,SME,546005,88%,58%,48%,75%,17%,16%,9%,41%,34%,17%,,20%,62%,35%,3%,0%,51184,27946896252,15683,8563188486
,Turkmenistan,,,SME,31398,,,,,,,,,,,,,,,,,26771,840546278,4902,153918138
,Uganda,,,SME,21439,83%,9%,14%,20%,54%,22%,58%,17%,3%,15%,18.22,21%,71%,1%,25%,3%,5294,113503474,323,6929183
,Ukraine,,,SME,156467,92%,42%,23%,48%,36%,26%,27%,37%,11%,17%,,14%,91%,6%,4%,0%,23263,3639854356,5239,819686860
,United Arab Emirates,,,SME,31082,,,,,,,,,,,,,,,,,326796,10157513090,14914,463546334
,United Kingdom,,,SME,636461,,,,,,,,,,,,,,,,,,,,
,United States,,,SME,2692485,,,,,,,,,,,,,,,,,,,,
,Uruguay,,,SME,33160,86%,53%,41%,63%,16%,21%,16%,42%,21%,8%,,,70%,26%,3%,1%,90829,3011940175,6684,221656435
,Uzbekistan,,,SME,137666,94%,4%,13%,14%,25%,36%,49%,10%,5%,16%,,22%,36%,59%,2%,2%,34956,4812252386,1304,179476709
,Venezuela,,,SME,174172,96%,35%,32%,46%,11%,35%,19%,33%,12%,14%,,,86%,14%,0%,0%,55902,9736616235,1655,288173879
,Vietnam,,,SME,676640,78%,12%,42%,48%,26%,22%,30%,22%,26%,18%,,,49%,47%,0%,4%,6333,4284951211,11155,7548017780
,Yemen,,,SME,72282,37%,8%,7%,13%,35%,41%,46%,9%,5%,19%,,,70%,11%,19%,0%,3134,226529895,337,24334357
,Zambia,,,SME,60826,94%,40%,15%,44%,24%,25%,30%,26%,19%,12%,20.36,23%,69%,16%,12%,3%,23715,1442462446,1029,62607314
,Zimbabwe,,,SME,61320,,,,,,,,,,,,,,,,,22595,1385548834,970,59492891
,Burundi,,na,SME,324,100%,0%,0%,0%,85%,100%,0%,0%,0%,,,,,,,,0,0,0,0
Central Asia and Eastern Europe,,,,SME,3056850,90%,40%,37%,53%,28%,27%,20%,38%,16%,16%,40.42,19%,71%,25%,3%,1%,55633,170060797846,12142,37115190957
East Asia,,,,SME,12455846,53%,8%,16%,18%,17%,32%,50%,11%,6%,19%,,95%,38%,45%,16%,2%,13449,167523005497,20813,259243602312
Latin America,,,,SME,3407670,82%,56%,43%,64%,31%,21%,15%,50%,14%,12%,19.45,19%,77%,17%,5%,1%,69048,235291889277,3564,12143832718
MENA,,,,SME,2124144,77%,39%,25%,44%,41%,31%,25%,36%,9%,16%,41.03,31%,55%,32%,12%,0%,138479,294148414156,2754,5849739802
South Asia,,,,SME,2385548,69%,16%,11%,17%,19%,51%,31%,10%,7%,17%,28.59,4%,97%,3%,1%,0%,6239,14884359789,4197,10011593925
Sub-Saharan Africa,,,,SME,3895340,87%,23%,16%,29%,48%,21%,50%,22%,7%,17%,22.24,30%,71%,14%,13%,2%,20559,80085312096,913,3557981592
,,,,SME,27325399,69%,23%,22%,31%,26%,30%,39%,22%,9%,17%,29.04,55%,58%,30%,11%,1%,35205,961993778663,12001,327921941306
,Afghanistan,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,Albania,,na,SME,125,100%,85%,100%,100%,0%,0%,0%,85%,15%,25%,44.98,0%,100%,0%,0%,0%,0,0,0,0
,Algeria,,na,SME,480,100%,100%,100%,100%,0%,0%,0%,100%,0%,,60,0%,0%,100%,0%,0%,0,0,0,0
,Angola,,na,SME,87036,87%,12%,9%,15%,42%,42%,43%,13%,1%,8%,,,60%,32%,9%,0%,0,0,0,0
,Argentina,,na,SME,2027,100%,51%,20%,55%,45%,0%,45%,27%,28%,3%,,,100%,0%,0%,0%,0,0,0,0
,Armenia,,na,SME,323,50%,0%,50%,50%,100%,0%,50%,50%,0%,,,0%,100%,0%,0%,0%,0,0,0,0
,Australia,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,Austria,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
,Azerbaijan,,na,SME,851,41%,0%,0%,0%,41%,48%,52%,0%,0%,,,,,,,,0,0,0,0
